410      1      217
410      2      222
411      0      205
411      1      193
411      2      194
412      0      214
412      1      205
412      2      217
413      0      214
413      1      200
413      2      205
414      0      230
414      1      217
414      2      218
415      0      227
415      1      228
415      2      213
416      0      235
416      1      227
416      2      222
417      0      237
417      1      228
417      2      227
418      0      242
418      1      237
418      2      249
419      0      242
419      1      228
419      2      237
420      0      217
420      1      206
420      2      218
421      0      238
421      1      226
421      2      224
422      0      233
422      1      221
422      2      234
423      0      243
423      1      238
423      2      236
424      0      245
424      1      243
424      2      231
425      0      256
425      1      250
425      2      243
426      0      239
426      1      240
426      2      252
427      0      239
427      1      225
427      2      226
428      0      247
428      1      234
428      2      248
429      0      260
429      1      247
429      2      248
430      0      266
430      1      257
430      2      259
431      0      244
431      1      235
431      2      230
432      0      253
432      1      244
432      2      257
433      0      253
433      1      241
433      2      244
434      0      230
434      1      221
434      2      233
435      0      244
435      1      230
435      2      233
436      0      235
436      1      222
436      2      230
437      0      250
437      1      256
437      2      263
438      0      252
438      1      250
438      2      263
439      0      265
439      1      252
439      2      263
440      0      251
440      1      239
440      2      252
441      0      240
441      1      226
441      2      238
442      0      247
442      1      233
442      2      234
443      0      259
443      1      247
443      2      260
444      0      257
444      1      244
444      2      247
445      0      240
445      1      250
445      2      252
446      0      272
446      1      284
446      2      271
447      0      278
447      1      287
447      2      288
448      0      260
448      1      270
448      2      259
449      0      257
449      1      247
449      2      259
450      0      261
450      1      272
450      2      271
451      0      284
451      1      296
451      2      283
452      0      241
452      1      249
452      2      237
453      0      227
453      1      241
453      2      237
454      0      235
454      1      244
454      2      241
455      0      217
455      1      230
455      2      222
456      0      253
456      1      249
456      2      241
457      0      233
457      1      247
457      2      244
458      0      266
458      1      278
458      2      279
459      0      262
459      1      266
459      2      273
460      0      259
460      1      270
460      2      266
461      0      261
461      1      260
461      2      248
462      0      262
462      1      268
462      2      254
463      0      257
463      1      266
463      2      253
464      0      279
464      1      282
464      2      273
465      0      341
465      1      355
465      2      340
466      0      325
466      1      314
466      2      328
467      0      319
467      1      325
467      2      334
468      0      319
468      1      309
468      2      325
469      0      343
469      1      327
469      2      342
470      0      339
470      1      332
470      2      348
471      0      329
471      1      339
471      2      345
472      0      326
472      1      332
472      2      339
473      0      374
473      1      388
473      2      372
474      0      358
474      1      342
474      2      359
475      0      355
475      1      357
475      2      372
476      0      355
476      1      342
476      2      357
477      0      375
477      1      390
477      2      374
478      0      293
478      1      282
478      2      279
479      0      189
479      1      202
479      2      188
480      0      182
480      1      195
480      2      190
481      0      207
481      1      216
481      2      203
482      0      195
482      1      207
482      2      203
483      0      190
483      1      195
483      2      203
484      0      182
484      1      192
484      2      195
485      0      220
485      1      228
485      2      232
486      0      235
486      1      241
486      2      227
487      0      232
487      1      246
487      2      245
488      0      277
488      1      276
488      2      264
489      0      265
489      1      277
489      2      264
490      0      251
490      1      265
490      2      264
491      0      263
491      1      275
491      2      265
492      0      251
492      1      252
492      2      265
493      0      256
493      1      258
493      2      263
494      0      275
494      1      289
494      2      277
495      0      299
495      1      308
495      2      313
496      0      283
496      1      270
496      2      271
497      0      292
497      1      283
497      2      296
498      0      292
498      1      278
498      2      283
499      0      279
499      1      278
499      2      288
500      0      279
500      1      273
500      2      266
501      0      292
501      1      308
501      2      299
502      0      284
502      1      272
502      2      274
503      0      283
503      1      278
503      2      270
504      0      308
504      1      292
504      2      296
505      0      287
505      1      278
505      2      292
506      0      271
506      1      260
506      2      261
507      0      283
507      1      271
507      2      284
508      0      270
508      1      260
508      2      271
509      0      286
509      1      274
509      2      285
510      0      277
510      1      289
510      2      290
511      0      295
511      1      293
511      2      304
512      0      294
512      1      281
512      2      295
513      0      268
513      1      273
513      2      282
514      0      267
514      1      268
514      2      281
515      0      258
515      1      246
515      2      255
516      0      254
516      1      268
516      2      267
517      0      255
517      1      254
517      2      267
518      0      242
518      1      249
518      2      254
519      0      262
519      1      253
519      2      266
520      0      268
520      1      262
520      2      273
521      0      249
521      1      253
521      2      262
522      0      277
522      1      290
522      2      276
523      0      286
523      1      284
523      2      274
524      0      298
524      1      297
524      2      285
525      0      296
525      1      284
525      2      286
526      0      335
526      1      320
526      2      334
527      0      322
527      1      321
527      2      336
528      0      323
528      1      322
528      2      337
529      0      323
529      1      307
529      2      322
530      0      305
530      1      310
530      2      321
531      0      291
531      1      290
531      2      306
532      0      281
532      1      280
532      2      267
533      0      281
533      1      294
533      2      280
534      0      282
534      1      281
534      2      268
535      0      282
535      1      293
535      2      295
536      0      310
536      1      305
536      2      294
537      0      280
537      1      294
537      2      289
538      0      269
538      1      280
538      2      275
539      0      269
539      1      267
539      2      280
540      0      389
540      1      383
540      2      373
541      0      338
541      1      352
541      2      353
542      0      367
542      1      356
542      2      373
543      0      352
543      1      367
543      2      368
544      0      351
544      1      356
544      2      367
545      0      337
545      1      351
545      2      352
546      0      340
546      1      356
546      2      351
547      0      337
547      1      336
547      2      351
548      0      334
548      1      325
548      2      340
549      0      335
549      1      334
549      2      336
550      0      321
550      1      335
550      2      336
551      0      321
551      1      320
551      2      335
552      0      289
552      1      294
552      2      305
553      0      319
553      1      334
553      2      320
554      0      310
554      1      304
554      2      320
555      0      312
555      1      314
555      2      300
556      0      304
556      1      293
556      2      309
557      0      320
557      1      304
557      2      319
558      0      295
558      1      281
558      2      282
559      0      310
559      1      295
559      2      304
560      0      310
560      1      294
560      2      295
561      0      321
561      1      310
561      2      320
562      0      289
562      1      275
562      2      280
563      0      324
563      1      308
563      2      318
564      0      327
564      1      313
564      2      329
565      0      327
565      1      312
565      2      313
566      0      279
566      1      288
566      2      293
567      0      278
567      1      266
567      2      270
568      0      300
568      1      287
568      2      299
569      0      293
569      1      300
569      2      309
570      0      288
570      1      287
570      2      300
571      0      299
571      1      312
571      2      300
572      0      292
572      1      299
572      2      287
573      0      313
573      1      312
573      2      299
574      0      328
574      1      343
574      2      341
575      0      312
575      1      328
575      2      314
576      0      312
576      1      327
576      2      328
577      0      328
577      1      341
577      2      325
578      0      344
578      1      342
578      2      327
579      0      355
579      1      341
579      2      343
580      0      358
580      1      374
580      2      357
581      0      342
581      1      358
581      2      357
582      0      375
582      1      374
582      2      358
583      0      356
583      1      340
583      2      355
584      0      300
584      1      314
584      2      309
585      0      324
585      1      313
585      2      308
586      0      326
586      1      324
586      2      318
587      0      329
587      1      313
587      2      324
588      0      354
588      1      345
588      2      339
589      0      344
589      1      327
589      2      329
590      0      254
590      1      249
590      2      262
591      0      311
591      1      297
591      2      298
592      0      316
592      1      302
592      2      301
593      0      303
